1731611695929	FirefoxAccounts	ERROR	Sending was only partially successful: {"enqueued":true,"notified":false,"notifyError":"unknown"}
1731611695929	FirefoxAccounts	INFO	Payload sent to device 1bfe4fafe00a5e1e2d962ddd0c61c948.
1731611695929	Sync.Telemetry	DEBUG	recording event: {"object":"command-sent","method":"open-uri","value":"8610cb9f69e0dad939b267007c0b9c4bfde099b8c8f81a7892af3b583c8ff9b0","extra":{"flowID":"3a281943-5780-483e-92fd-7a3e92e73d1d","streamID":"f5278907-96ab-4f7c-bc77-428fa6c729d8"}}
1731611695930	Sync.BulkKeyBundle	INFO	BulkKeyBundle being created for undefined
1731611695932	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/account/devices/invoke_command
1731611695932	Services.Common.RESTRequest	DEBUG	POST Length: 541
1731611696228	Services.Common.RESTRequest	DEBUG	POST https://api.accounts.firefox.com/v1/account/devices/invoke_command 200
1731611696228	Hawk	DEBUG	(Response) /account/devices/invoke_command: code: 200 - Status text: 
1731611696228	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -228
1731611696228	FirefoxAccounts	INFO	Successfully sent: {"enqueued":true,"notified":true}
1731611696228	FirefoxAccounts	INFO	Payload sent to device dd163c2df78d94ca7f88ab1b61f999c5.
1731611696229	Sync.Telemetry	DEBUG	recording event: {"object":"command-sent","method":"open-uri","value":"e45299d57d04e9a9e75b7c1825234630e72871baec4df3a2179a49d26e4214c1","extra":{"flowID":"3a281943-5780-483e-92fd-7a3e92e73d1d","streamID":"7dade19b-f0c1-41ac-b0ef-fce1543ff37d"}}
1731611696229	Sync.BulkKeyBundle	INFO	BulkKeyBundle being created for undefined
1731611696232	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/account/devices/invoke_command
1731611696232	Services.Common.RESTRequest	DEBUG	POST Length: 541
1731611696513	Services.Common.RESTRequest	DEBUG	POST https://api.accounts.firefox.com/v1/account/devices/invoke_command 200
1731611696513	Hawk	DEBUG	(Response) /account/devices/invoke_command: code: 200 - Status text: 
1731611696513	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -513
1731611696513	FirefoxAccounts	INFO	Successfully sent: {"enqueued":true,"notified":true}
1731611696513	FirefoxAccounts	INFO	Payload sent to device 0a8256ab91d9b98299e1f4e10339bec0.
1731611696513	Sync.Telemetry	DEBUG	recording event: {"object":"command-sent","method":"open-uri","value":"b055d3fa4675f7bdba047fe0618ecca2af14510138dda66dd3854eba06bb3e1d","extra":{"flowID":"3a281943-5780-483e-92fd-7a3e92e73d1d","streamID":"b841b195-f447-4972-afb7-c06a1798c230"}}
1731611696513	Sync.BulkKeyBundle	INFO	BulkKeyBundle being created for undefined
1731611696515	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/account/devices/invoke_command
1731611696515	Services.Common.RESTRequest	DEBUG	POST Length: 541
1731611696791	Services.Common.RESTRequest	DEBUG	POST https://api.accounts.firefox.com/v1/account/devices/invoke_command 200
1731611696791	Hawk	DEBUG	(Response) /account/devices/invoke_command: code: 200 - Status text: 
1731611696791	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -791
1731611696791	FirefoxAccounts	INFO	Successfully sent: {"enqueued":true,"notified":true}
1731611696791	FirefoxAccounts	INFO	Payload sent to device 81657bd46dcfc94271673f15624bdad9.
1731611696791	Sync.Telemetry	DEBUG	recording event: {"object":"command-sent","method":"open-uri","value":"7af8071922e7e15a84eb27343ada71185362c4508c6b71ee48f7cd1cc6fd2db1","extra":{"flowID":"3a281943-5780-483e-92fd-7a3e92e73d1d","streamID":"e296f60e-6a1a-4edb-935a-ffffb48f14be"}}
1731611696791	Sync.BulkKeyBundle	INFO	BulkKeyBundle being created for undefined
1731611696793	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/account/devices/invoke_command
1731611696793	Services.Common.RESTRequest	DEBUG	POST Length: 541
1731611697253	Services.Common.RESTRequest	DEBUG	POST https://api.accounts.firefox.com/v1/account/devices/invoke_command 200
1731611697253	Hawk	DEBUG	(Response) /account/devices/invoke_command: code: 200 - Status text: 
1731611697253	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -253
1731611697253	FirefoxAccounts	INFO	Successfully sent: {"enqueued":true,"notified":true}
1731611697253	FirefoxAccounts	INFO	Payload sent to device d1176bbb6b481154b6f76f1ed601b07c.
1731611697253	Sync.Telemetry	DEBUG	recording event: {"object":"command-sent","method":"open-uri","value":"dd5cf0672f1264309a0a2a343acb5c1795f476d4a6fd2ea1d7ef611852030421","extra":{"flowID":"3a281943-5780-483e-92fd-7a3e92e73d1d","streamID":"d16f1c67-724f-44f6-b585-dc24903057ea"}}
